Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Animal bite injuries to the face : A Case Report.","/pubmed/24155623","Simao NR, Borba AM, da Silva AL, Vieira EM, Carvalhosa AA, Bandeca MC, Borges AH.","J Int Oral Health. 2013 Aug;5(4):68-72. Epub 2013 Aug 28.","J Int Oral Health.  2013","PubMed","citation","PMID:24155623 | PMCID:PMC3780373","pubmed","24155623","create date:2013/10/25 | first author:Simao NR",
"Rapid identification and subtyping of Helicobacter cinaedi strains by intact-cell mass spectrometry profiling with the use of matrix-assisted laser desorption ionization-time of flight mass spectrometry.","/pubmed/24153128","Taniguchi T, Sekiya A, Higa M, Saeki Y, Umeki K, Okayama A, Hayashi T, Misawa N.","J Clin Microbiol. 2014 Jan;52(1):95-102. doi: 10.1128/JCM.01798-13. Epub 2013 Oct 23.","J Clin Microbiol.  2014","PubMed","citation","PMID:24153128 | PMCID:PMC3911436","pubmed","24153128","create date:2013/10/25 | first author:Taniguchi T",
"Biomarkers in the assessment of acute and chronic kidney diseases in the dog and cat.","/pubmed/24152019","Cobrin AR, Blois SL, Kruth SA, Abrams-Ogg AC, Dewey C.","J Small Anim Pract. 2013 Dec;54(12):647-55. doi: 10.1111/jsap.12150. Epub 2013 Oct 24. Review.","J Small Anim Pract.  2013","PubMed","citation","PMID:24152019","pubmed","24152019","create date:2013/10/25 | first author:Cobrin AR",
"Immunohistochemical study on androgen receptors in the anterior cruciate ligament in dogs.","/pubmed/24107721","Ohno H, Goto S, Owaki M, Ohta J, Nakajima N, Nakata K, Mutoh K, Oyamada T, Yoshioka K.","Okajimas Folia Anat Jpn. 2013;90(2):31-9.","Okajimas Folia Anat Jpn.  2013","PubMed","citation","PMID:24107721","pubmed","24107721","create date:2013/10/11 | first author:Ohno H",
"The big problem: battling companion animal obesity.","/pubmed/24077144","Raffan E.","Vet Rec. 2013 Sep 28;173(12):287-91. doi: 10.1136/vr.f5815. No abstract available. ","Vet Rec.  2013","PubMed","citation","PMID:24077144","pubmed","24077144","create date:2013/10/01 | first author:Raffan E",
"Management of refractory epilepsy.","/pubmed/24070684","Muñana KR.","Top Companion Anim Med. 2013 May;28(2):67-71. doi: 10.1053/j.tcam.2013.06.007. Review.","Top Companion Anim Med.  2013","PubMed","citation","PMID:24070684","pubmed","24070684","create date:2013/09/28 | first author:Muñana KR",
"Terminology and classification of seizures and epilepsy in veterinary patients.","/pubmed/24070679","Mariani CL.","Top Companion Anim Med. 2013 May;28(2):34-41. doi: 10.1053/j.tcam.2013.06.008. Review.","Top Companion Anim Med.  2013","PubMed","citation","PMID:24070679","pubmed","24070679","create date:2013/09/28 | first author:Mariani CL",
"Spontaneously occurring restrictive nonhypertrophied cardiomyopathy in domestic cats: a new animal model of human disease.","/pubmed/24035181","Fox PR, Basso C, Thiene G, Maron BJ.","Cardiovasc Pathol. 2014 Jan-Feb;23(1):28-34. doi: 10.1016/j.carpath.2013.08.001. Epub 2013 Sep 12.","Cardiovasc Pathol.  2014","PubMed","citation","PMID:24035181","pubmed","24035181","create date:2013/09/17 | first author:Fox PR",
"Control of airborne and liquid-borne fungal and pet allergens using microwave irradiation.","/pubmed/24011331","Wu Y, Yao M.","J Occup Environ Hyg. 2013;10(10):547-55. doi: 10.1080/15459624.2013.818234.","J Occup Environ Hyg.  2013","PubMed","citation","PMID:24011331","pubmed","24011331","create date:2013/09/10 | first author:Wu Y",
"First report in South America of companion animal colonization by the USA1100 clone of community-acquired meticillin-resistant Staphylococcus aureus (ST30) and by the European clone of methicillin-resistant Staphylococcus pseudintermedius (ST71).","/pubmed/23981343","Quitoco IM, Ramundo MS, Silva-Carvalho MC, Souza RR, Beltrame CO, de Oliveira TF, Araújo R, Del Peloso PF, Coelho LR, Figueiredo AM.","BMC Res Notes. 2013 Aug 27;6:336. doi: 10.1186/1756-0500-6-336.","BMC Res Notes.  2013","PubMed","citation","PMID:23981343 | PMCID:PMC3765899","pubmed","23981343","create date:2013/08/29 | first author:Quitoco IM",
"High prevalence of fecal carriage of extended spectrum β-lactamase/AmpC-producing Enterobacteriaceae in cats and dogs.","/pubmed/23966992","Hordijk J, Schoormans A, Kwakernaak M, Duim B, Broens E, Dierikx C, Mevius D, Wagenaar JA.","Front Microbiol. 2013;4:242. doi: 10.3389/fmicb.2013.00242.","Front Microbiol.  2013","PubMed","citation","PMID:23966992 | PMCID:PMC3745002","pubmed","23966992","create date:2013/08/24 | first author:Hordijk J",
"Detection and genetic characterization of feline kobuviruses.","/pubmed/23963764","Chung JY, Kim SH, Kim YH, Lee MH, Lee KK, Oem JK.","Virus Genes. 2013 Dec;47(3):559-62. doi: 10.1007/s11262-013-0953-8. Epub 2013 Aug 21.","Virus Genes.  2013","PubMed","citation","PMID:23963764","pubmed","23963764","create date:2013/08/22 | first author:Chung JY",
"Describing the relationship between cat bites and human depression using data from an electronic health record.","/pubmed/23936453","Hanauer DA, Ramakrishnan N, Seyfried LS.","PLoS One. 2013 Aug 1;8(8):e70585. doi: 10.1371/journal.pone.0070585. Print 2013.","PLoS One.  2013","PubMed","citation","PMID:23936453 | PMCID:PMC3731284","pubmed","23936453","create date:2013/08/13 | first author:Hanauer DA",
"Toxoplasma gondii in free-ranging wild small felids from Brazil: molecular detection and genotypic characterization.","/pubmed/23932730","Cañón-Franco WA, Araújo FA, López-Orozco N, Jardim MM, Keid LB, Dalla-Rosa C, Cabral AD, Pena HF, Gennari SM.","Vet Parasitol. 2013 Nov 8;197(3-4):462-9. doi: 10.1016/j.vetpar.2013.07.019. Epub 2013 Jul 20.","Vet Parasitol.  2013","PubMed","citation","PMID:23932730","pubmed","23932730","create date:2013/08/13 | first author:Cañón-Franco WA",
"Detection of diarrheagenic Escherichia coli strains isolated from dogs and cats in Brazil.","/pubmed/23932311","Puño-Sarmiento J, Medeiros L, Chiconi C, Martins F, Pelayo J, Rocha S, Blanco J, Blanco M, Zanutto M, Kobayashi R, Nakazato G.","Vet Microbiol. 2013 Oct 25;166(3-4):676-80. doi: 10.1016/j.vetmic.2013.07.007. Epub 2013 Jul 24.","Vet Microbiol.  2013","PubMed","citation","PMID:23932311","pubmed","23932311","create date:2013/08/13 | first author:Puño-Sarmiento J",
"Comparison of immunoglobulin E measurements on IMMULITE and ImmunoCAP in samples consisting of allergen-specific mouse-human chimeric monoclonal antibodies towards allergen extracts and four recombinant allergens.","/pubmed/23921375","Szecsi PB, Stender S.","Int Arch Allergy Immunol. 2013;162(2):131-4. doi: 10.1159/000353276. Epub 2013 Jul 31.","Int Arch Allergy Immunol.  2013","PubMed","citation","PMID:23921375","pubmed","23921375","create date:2013/08/08 | first author:Szecsi PB",
"Evaluation of automated assays for immunoglobulin G, M, and A measurements in dog and cat serum.","/pubmed/23919681","Tvarijonaviciute A, Martínez-Subiela S, Caldin M, Tecles F, Ceron JJ.","Vet Clin Pathol. 2013 Sep;42(3):270-80. doi: 10.1111/vcp.12069. Epub 2013 Aug 6.","Vet Clin Pathol.  2013","PubMed","citation","PMID:23919681","pubmed","23919681","create date:2013/08/08 | first author:Tvarijonaviciute A",
"Human wound infections caused by Neisseria animaloris and Neisseria zoodegmatis, former CDC Group EF-4a and EF-4b.","/pubmed/23919115","Heydecke A, Andersson B, Holmdahl T, Melhus A.","Infect Ecol Epidemiol. 2013 Aug 2;3. doi: 10.3402/iee.v3i0.20312. Print 2013.","Infect Ecol Epidemiol.  2013","PubMed","citation","PMID:23919115 | PMCID:PMC3733017","pubmed","23919115","create date:2013/08/07 | first author:Heydecke A",
"Our experience with atopy patch tests with aeroallergens.","/pubmed/23909049","Celakovská J, Ettlerová K, Ettler K, Vanecková J.","Acta Medica (Hradec Kralove). 2013;56(1):14-8.","Acta Medica (Hradec Kralove).  2013","PubMed","citation","PMID:23909049","pubmed","23909049","create date:2013/08/06 | first author:Celakovská J",
"Update on immununosuppressive therapies for dogs and cats.","/pubmed/23890244","Viviano KR.","Vet Clin North Am Small Anim Pract. 2013 Sep;43(5):1149-70. doi: 10.1016/j.cvsm.2013.04.009. Epub 2013 Jun 17.","Vet Clin North Am Small Anim Pract.  2013","PubMed","citation","PMID:23890244","pubmed","23890244","create date:2013/07/31 | first author:Viviano KR",
"Feline drug metabolism and disposition: pharmacokinetic evidence for species differences and molecular mechanisms.","/pubmed/23890237","Court MH.","Vet Clin North Am Small Anim Pract. 2013 Sep;43(5):1039-54. doi: 10.1016/j.cvsm.2013.05.002. Review.","Vet Clin North Am Small Anim Pract.  2013","PubMed","citation","PMID:23890237 | PMCID:PMC3811070","pubmed","23890237","create date:2013/07/31 | first author:Court MH",
"[Epidemiology of autochthonous leishmaniases in France].","/pubmed/23886932","Dedet JP, Carme B, Desbois N, Bourdoiseau G, Lachaud L, Pratlong F.","Presse Med. 2013 Nov;42(11):1469-81. doi: 10.1016/j.lpm.2013.03.010. Epub 2013 Jul 22. French. ","Presse Med.  2013","PubMed","citation","PMID:23886932","pubmed","23886932","create date:2013/07/28 | first author:Dedet JP",
"[Acute total knee replacement infection after a cat bite and scratch: a clinical case and review of the literature].","/pubmed/23885657","Miranda I, Angulo M, Amaya JV.","Rev Esp Cir Ortop Traumatol. 2013 Jul-Aug;57(4):300-5. doi: 10.1016/j.recot.2013.04.006. Epub 2013 Jul 8. Review. Spanish. ","Rev Esp Cir Ortop Traumatol.  2013","PubMed","citation","PMID:23885657","pubmed","23885657","create date:2013/07/28 | first author:Miranda I",
"The spectrum of aeroallergen sensitization in children diagnosed with asthma during first 2 years of life.","/pubmed/23883600","Sahiner UM, Buyuktiryaki AB, Yavuz ST, Yilmaz EA, Cavkaytar O, Tuncer A, Sekerel BE.","Allergy Asthma Proc. 2013 Jul-Aug;34(4):356-61. doi: 10.2500/aap.2013.34.3655.","Allergy Asthma Proc.  2013","PubMed","citation","PMID:23883600","pubmed","23883600","create date:2013/07/26 | first author:Sahiner UM",
"Allergens as immunomodulatory proteins: the cat dander protein Fel d 1 enhances TLR activation by lipid ligands.","/pubmed/23878318","Herre J, Grönlund H, Brooks H, Hopkins L, Waggoner L, Murton B, Gangloff M, Opaleye O, Chilvers ER, Fitzgerald K, Gay N, Monie T, Bryant C.","J Immunol. 2013 Aug 15;191(4):1529-35. doi: 10.4049/jimmunol.1300284. Epub 2013 Jul 22.","J Immunol.  2013","PubMed","citation","PMID:23878318 | PMCID:PMC3836235","pubmed","23878318","create date:2013/07/24 | first author:Herre J",
"Whole-genome comparison of meticillin-resistant Staphylococcus aureus CC22 SCCmecIV from people and their in-contact pets.","/pubmed/23869430","Loeffler A, McCarthy A, Lloyd DH, Musilová E, Pfeiffer DU, Lindsay JA.","Vet Dermatol. 2013 Oct;24(5):538-e128. doi: 10.1111/vde.12062. Epub 2013 Jul 19.","Vet Dermatol.  2013","PubMed","citation","PMID:23869430","pubmed","23869430","create date:2013/07/23 | first author:Loeffler A",
"Characterization of blaCTX-M IncFII plasmids and clones of Escherichia coli from pets in France.","/pubmed/23852541","Dahmen S, Haenni M, Châtre P, Madec JY.","J Antimicrob Chemother. 2013 Dec;68(12):2797-801. doi: 10.1093/jac/dkt291. Epub 2013 Jul 12.","J Antimicrob Chemother.  2013","PubMed","citation","PMID:23852541","pubmed","23852541","create date:2013/07/16 | first author:Dahmen S",
"Seroprevalence and risk factors for Toxocara infection in children from an urban large setting in Northeast Brazil.","/pubmed/23845771","Mendonça LR, Figueiredo CA, Esquivel R, Fiaccone RL, Pontes-de-Carvalho L, Cooper P, Barreto ML, Alcantara-Neves NM.","Acta Trop. 2013 Oct;128(1):90-5. doi: 10.1016/j.actatropica.2013.06.018. Epub 2013 Jul 8.","Acta Trop.  2013","PubMed","citation","PMID:23845771","pubmed","23845771","create date:2013/07/13 | first author:Mendonça LR",
"Pigeons use low rather than high spatial frequency information to make visual category discriminations.","/pubmed/23834710","Lea SE, De Filippo G, Dakin R, Meier C.","J Exp Psychol Anim Behav Process. 2013 Oct;39(4):377-82. doi: 10.1037/a0033104. Epub 2013 Jul 8.","J Exp Psychol Anim Behav Process.  2013","PubMed","citation","PMID:23834710","pubmed","23834710","create date:2013/07/10 | first author:Lea SE",
"Canine and feline dermatophytosis due to Microsporum gypseum: a retrospective study of clinical data and therapy outcome with griseofulvin.","/pubmed/23827239","Nardoni S, Mugnaini L, Papini R, Fiaschi M, Mancianti F.","J Mycol Med. 2013 Sep;23(3):164-7. doi: 10.1016/j.mycmed.2013.05.005. Epub 2013 Jul 1.","J Mycol Med.  2013","PubMed","citation","PMID:23827239","pubmed","23827239","create date:2013/07/06 | first author:Nardoni S",
"Phylogenetic analysis reveals a high prevalence of Sporothrix brasiliensis in feline sporotrichosis outbreaks.","/pubmed/23818999","Rodrigues AM, de Melo Teixeira M, de Hoog GS, Schubach TM, Pereira SA, Fernandes GF, Bezerra LM, Felipe MS, de Camargo ZP.","PLoS Negl Trop Dis. 2013 Jun 20;7(6):e2281. doi: 10.1371/journal.pntd.0002281. Print 2013.","PLoS Negl Trop Dis.  2013","PubMed","citation","PMID:23818999 | PMCID:PMC3688539","pubmed","23818999","create date:2013/07/03 | first author:Rodrigues AM",
"Babesiosis in cats: ABCD guidelines on prevention and management.","/pubmed/23813832","Hartmann K, Addie D, Belák S, Boucraut-Baralon C, Egberink H, Frymus T, Gruffydd-Jones T, Hosie MJ, Lloret A, Lutz H, Marsilio F, Möstl K, Pennisi MG, Radford AD, Thiry E, Truyen U, Horzinek MC.","J Feline Med Surg. 2013 Jul;15(7):643-6. doi: 10.1177/1098612X13489230. Review.","J Feline Med Surg.  2013","PubMed","citation","PMID:23813832","pubmed","23813832","create date:2013/07/03 | first author:Hartmann K",
Title,URL,Description,Details,ShortDetails,Resource,Type,Identifiers,Db,EntrezUID,Properties
"Leishmaniosis in cats: ABCD guidelines on prevention and management.","/pubmed/23813831","Pennisi MG, Hartmann K, Lloret A, Addie D, Belák S, Boucraut-Baralon C, Egberink H, Frymus T, Gruffydd-Jones T, Hosie MJ, Lutz H, Marsilio F, Möstl K, Radford AD, Thiry E, Truyen U, Horzinek MC.","J Feline Med Surg. 2013 Jul;15(7):638-42. doi: 10.1177/1098612X13489229. Review.","J Feline Med Surg.  2013","PubMed","citation","PMID:23813831","pubmed","23813831","create date:2013/07/03 | first author:Pennisi MG",
"Capnocytophaga canimorsus infection in cats: ABCD guidelines on prevention and management.","/pubmed/23813822","Lloret A, Egberink H, Addie D, Belák S, Boucraut-Baralon C, Frymus T, Pennisi MG, Gruffydd-Jones T, Hartmann K, Hosie MJ, Lutz H, Marsilio F, Möstl K, Radford AD, Thiry E, Truyen U, Horzinek MC.","J Feline Med Surg. 2013 Jul;15(7):588-90. doi: 10.1177/1098612X13489220. Review.","J Feline Med Surg.  2013","PubMed","citation","PMID:23813822","pubmed","23813822","create date:2013/07/03 | first author:Lloret A",
"Leptospira species infection in cats: ABCD guidelines on prevention and management.","/pubmed/23813819","Hartmann K, Egberink H, Pennisi MG, Lloret A, Addie D, Belák S, Boucraut-Baralon C, Frymus T, Gruffydd-Jones T, Hosie MJ, Lutz H, Marsilio F, Möstl K, Radford AD, Thiry E, Truyen U, Horzinek MC.","J Feline Med Surg. 2013 Jul;15(7):576-81. doi: 10.1177/1098612X13489217. Review.","J Feline Med Surg.  2013","PubMed","citation","PMID:23813819","pubmed","23813819","create date:2013/07/03 | first author:Hartmann K",
"The future of imaging in veterinary oncology: learning from human medicine.","/pubmed/23810184","Mattoon JS, Bryan JN.","Vet J. 2013 Sep;197(3):541-52. doi: 10.1016/j.tvjl.2013.05.022. Epub 2013 Jun 27. Review.","Vet J.  2013","PubMed","citation","PMID:23810184","pubmed","23810184","create date:2013/07/03 | first author:Mattoon JS",
"Microbial content of household dust associated with exhaled NO in asthmatic children.","/pubmed/23807177","Johansson E, Reponen T, Vesper S, Levin L, Lockey J, Ryan P, Bernstein DI, Villareal M, Khurana Hershey GK, Schaffer C, Lemasters G.","Environ Int. 2013 Sep;59:141-7. doi: 10.1016/j.envint.2013.05.011. Epub 2013 Jun 24.","Environ Int.  2013","PubMed","citation","PMID:23807177 | PMCID:PMC3759577","pubmed","23807177","create date:2013/06/29 | first author:Johansson E",
"Comparative study of hair follicle morphology in eight mammalian species and humans.","/pubmed/23800212","Mangelsdorf S, Vergou T, Sterry W, Lademann J, Patzelt A.","Skin Res Technol. 2014 May;20(2):147-54. doi: 10.1111/srt.12098. Epub 2013 Jun 25.","Skin Res Technol.  2014","PubMed","citation","PMID:23800212","pubmed","23800212","create date:2013/06/27 | first author:Mangelsdorf S",
"Aspergillus felis sp. nov., an emerging agent of invasive aspergillosis in humans, cats, and dogs.","/pubmed/23798996","Barrs VR, van Doorn TM, Houbraken J, Kidd SE, Martin P, Pinheiro MD, Richardson M, Varga J, Samson RA.","PLoS One. 2013 Jun 14;8(6):e64871. doi: 10.1371/journal.pone.0064871. Print 2013.","PLoS One.  2013","PubMed","citation","PMID:23798996 | PMCID:PMC3683053","pubmed","23798996","create date:2013/06/27 | first author:Barrs VR",
"Cholecalciferol.","/pubmed/23796485","Peterson ME, Fluegeman K.","Top Companion Anim Med. 2013 Feb;28(1):24-7. doi: 10.1053/j.tcam.2013.03.006. Review.","Top Companion Anim Med.  2013","PubMed","citation","PMID:23796485","pubmed","23796485","create date:2013/06/26 | first author:Peterson ME",
"Selective serotonin reuptake inhibitor exposure.","/pubmed/23796482","Fitzgerald KT, Bronstein AC.","Top Companion Anim Med. 2013 Feb;28(1):13-7. doi: 10.1053/j.tcam.2013.03.003. Review.","Top Companion Anim Med.  2013","PubMed","citation","PMID:23796482","pubmed","23796482","create date:2013/06/26 | first author:Fitzgerald KT",
"Comparative analysis of mammalian Y chromosomes illuminates ancestral structure and lineage-specific evolution.","/pubmed/23788650","Li G, Davis BW, Raudsepp T, Pearks Wilkerson AJ, Mason VC, Ferguson-Smith M, O'Brien PC, Waters PD, Murphy WJ.","Genome Res. 2013 Sep;23(9):1486-95. doi: 10.1101/gr.154286.112. Epub 2013 Jun 20.","Genome Res.  2013","PubMed","citation","PMID:23788650 | PMCID:PMC3759724","pubmed","23788650","create date:2013/06/22 | first author:Li G",
